"gid" "Title" "Platform" "Metascore" "Avg_Userscore" "Single_player" "Action" "General" "First-Person" "Shooter" "Traditional" "Role-Playing" "Adventure" "Arcade" "Sci-Fi" "Fantasy" "Open-World" "Strategy" "Miscellaneous" "Historic" "2D" "Tactical" "Third-Person" "Real-Time" "Sports" "Racing" "Platformer" "Modern" "Action Adventure" "Team"
"1" 1 "The Legend of Zelda: Ocarina of Time" "Nintendo64" 23 66 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"2" 2 "Tony Hawk's Pro Skater 2" "PlayStation" 22 49 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"3" 3 "Grand Theft Auto IV" "PlayStation3" 22 50 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"4" 4 "SoulCalibur" "Dreamcast" 22 61 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"5" 5 "Grand Theft Auto IV" "Xbox360" 22 54 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"6" 6 "Super Mario Galaxy" "Wii" 21 65 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"7" 7 "Super Mario Galaxy 2" "Wii" 21 66 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"8" 8 "Grand Theft Auto V" "XboxOne" 21 53 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"9" 9 "Grand Theft Auto V" "PlayStation3" 21 58 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
"10" 10 "Grand Theft Auto V" "Xbox360" 21 58 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 0
